Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
1,Bulbasaur,,Seed,45,49,49,65,65,45,Grass,Poison,Overgrow,,Chlorophyll,45,6.9,0.7,5140,87.5,1059860,MS,1,0,1,5,8,3,70
2,Ivysaur,,Seed,60,62,63,80,80,60,Grass,Poison,Overgrow,,Chlorophyll,45,13,1,5140,87.5,1059860,MS,1,1,1,5,8,3,70
3,Venusaur,,Seed,80,82,83,100,100,80,Grass,Poison,Overgrow,,Chlorophyll,45,100,2,5140,87.5,1059860,MS,1,2,1,5,8,3,70
3,Venusaur,Mega,Seed,80,100,123,122,120,80,Grass,Poison,Thick Fat,,,45,155.5,2.4,5140,87.5,1059860,MS,1,2,1,5,8,3,70
4,Charmander,,Lizard,39,52,43,60,50,65,Fire,,Blaze,,Solar Power,45,8.5,0.6,5140,87.5,1059860,MS,1,0,2,8,6,4,70
5,Charmeleon,,Flame,58,64,58,80,65,80,Fire,,Blaze,,Solar Power,45,19,1.1,5140,87.5,1059860,MS,1,4,2,8,6,4,70
6,Charizard,,Flame,78,84,78,109,85,100,Fire,Flying,Blaze,,Solar Power,45,90.5,1.7,5140,87.5,1059860,MS,1,5,2,8,6,4,70
6,Charizard,Mega X,Flame,78,130,111,130,85,100,Fire,Dragon,Tough Claws,,,45,110.5,1.7,5140,87.5,1059860,MS,1,5,2,8,6,4,70
6,Charizard,Mega Y,Flame,78,104,78,159,115,100,Fire,Flying,Drought,,,45,110.5,1.7,5140,87.5,1059860,MS,1,5,2,8,6,4,70
7,Squirtle,,Tiny Turtle,44,48,65,60,54,43,Water,,Torrent,,Rain Dish,45,9,0.5,5140,87.5,1059860,MS,1,0,3,2,6,9,70
8,Wartortle,,Turtle,59,63,80,65,80,58,Water,,Torrent,,Rain Dish,45,22.5,1,5140,87.5,1059860,MS,1,7,3,2,6,9,70
9,Blastoise,,Shellfish,79,83,100,85,105,78,Water,,Torrent,,Rain Dish,45,85.5,1.6,5140,87.5,1059860,MS,1,8,3,2,6,9,70
9,Blastoise,Mega,Shellfish,79,103,120,135,115,78,Water,,Mega Launcher,,,45,101.1,1.6,5140,87.5,1059860,MS,1,8,3,2,6,9,70
10,Caterpie,,Worm,45,30,35,20,20,45,Bug,,Shield Dust,,Run Away,255,2.9,0.3,3855,50,1000000,MF,1,0,4,5,2,2,70
11,Metapod,,Cocoon,50,20,55,25,25,30,Bug,,Shed Skin,,,120,9.9,0.7,3855,50,1000000,MF,1,10,4,5,2,2,70
12,Butterfree,,Butterfly,60,45,50,90,80,70,Bug,Flying,Compound Eyes,,Tinted Lens,45,32,1.1,3855,50,1000000,MF,1,11,4,9,13,2,70
13,Weedle,,Hairy Bug,40,35,30,20,20,50,Bug,Poison,Shield Dust,,Run Away,255,3.2,0.3,3855,50,1000000,MF,1,0,5,3,2,2,70
14,Kakuna,,Cocoon,45,25,50,25,25,35,Bug,Poison,Shed Skin,,,120,10,0.6,3855,50,1000000,MF,1,13,5,10,2,2,70
15,Beedrill,,Poison Bee,65,90,40,40,80,75,Bug,Poison,Swarm,,Sniper,45,29.5,1,3855,50,1000000,MF,1,14,5,10,13,2,70
